                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.8867,                 5.2166,                 8.1252,                 4.0694,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 6.2436,                 5.1155,                 5.1462,                 3.8871,               0.070031,              0.0033299,              0.0033299
                      2,                 4.5699,                 4.9296,                 4.9105,                 3.0273,                0.02942,                0.80673,                0.07001,                0.03332,                0.03117,                0.81379,                0.07003,                0.02677,                 2.6277,                 3.5131,                 3.2493,                 2.1003,               0.039987,              0.0066193,              0.0066193
                      3,                 2.2787,                 2.7199,                 2.3908,                 1.6479,                0.40412,                0.69796,                0.49964,                0.27929,                0.40401,                0.69762,                0.49983,                0.29946,                 1.6849,                 1.7339,                 1.6964,                 1.3339,              0.0098988,              0.0098646,              0.0098646
                      4,                 1.7596,                 1.9875,                 1.7796,                 1.3108,                0.70303,                0.79776,                0.78155,                0.51656,                0.70396,                0.79864,                0.78284,                0.51459,                 1.3635,                 1.4876,                 1.2364,                 1.1576,               0.009802,               0.009802,               0.009802
                      5,                  1.545,                  1.728,                 1.3827,                 1.1935,                0.80719,                0.86522,                0.88209,                0.60881,                0.81065,                 0.8663,                 0.8832,                0.59827,                 1.2794,                  1.445,                0.98583,                 1.1013,               0.009736,               0.009736,               0.009736
                      6,                 1.4361,                 1.6027,                 1.1496,                 1.1454,                0.82312,                0.91757,                0.89981,                0.64313,                0.82312,                0.91757,                0.89997,                0.61635,                 1.2075,                 1.3626,                 0.8786,                 1.0662,                0.00967,                0.00967,                0.00967
                      7,                 1.3735,                 1.5358,                0.99282,                 1.1066,                0.88029,                0.92483,                0.92283,                0.66237,                 0.8819,                0.92201,                0.92295,                0.63391,                 1.1942,                 1.3388,                0.79435,                 1.0546,               0.009604,               0.009604,               0.009604
                      8,                 1.3229,                 1.4786,                0.95344,                 1.0848,                0.88169,                0.91699,                0.92176,                 0.6764,                0.88224,                0.91649,                0.92153,                0.64585,                 1.1543,                 1.3119,                0.76522,                 1.0377,               0.009538,               0.009538,               0.009538
                      9,                 1.2951,                 1.4521,                0.86617,                 1.0739,                0.86814,                0.94448,                0.92466,                0.68418,                0.86835,                 0.9447,                0.92475,                 0.6523,                 1.1362,                  1.298,                0.74862,                 1.0258,               0.009472,               0.009472,               0.009472
                     10,                 1.2701,                   1.43,                0.82114,                 1.0583,                0.90368,                0.93688,                0.93673,                0.69725,                0.90387,                0.93686,                0.93683,                0.66034,                 1.1164,                 1.2594,                0.69884,                 1.0161,               0.009406,               0.009406,               0.009406
