                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 10.259,                 12.981,                 6.8073,                      0,                      0,                      0,                      0,                 5.8655,                 9.0411,                 4.7994,               0.070031,              0.0033299,              0.0033299
                      2,                 4.5549,                 5.9908,                 3.6132,                0.45288,                0.59208,                0.50194,                0.26608,                 3.1356,                 3.1724,                 2.8053,               0.039987,              0.0066193,              0.0066193
                      3,                 3.1667,                 3.3869,                 2.6134,                 0.6168,                0.71466,                0.70905,                0.46652,                 2.5872,                  2.271,                 2.3939,              0.0098988,              0.0098646,              0.0098646
                      4,                 2.7319,                 2.6313,                 2.3363,                0.70734,                0.78294,                0.81023,                0.58617,                 2.1562,                 1.7618,                 2.1516,               0.009802,               0.009802,               0.009802
                      5,                 2.5025,                 2.0976,                 2.2096,                0.80477,                0.84512,                0.87523,                0.64266,                 2.1387,                 1.4952,                 2.1104,               0.009736,               0.009736,               0.009736
                      6,                 2.3944,                 1.8173,                 2.1687,                0.80698,                0.85668,                 0.8783,                0.64553,                 2.1221,                 1.4146,                 2.0964,                0.00967,                0.00967,                0.00967
                      7,                 2.3051,                 1.6094,                 2.1142,                 0.8391,                0.87899,                0.90143,                0.67384,                 2.0277,                 1.2732,                 2.0572,               0.009604,               0.009604,               0.009604
                      8,                 2.2423,                 1.5254,                 2.0818,                0.86827,                0.88633,                0.91043,                0.67917,                 2.0389,                 1.2139,                  2.054,               0.009538,               0.009538,               0.009538
                      9,                 2.2108,                 1.3907,                 2.0751,                0.86862,                0.89191,                0.91589,                0.69382,                  1.961,                 1.1975,                 2.0217,               0.009472,               0.009472,               0.009472
                     10,                 2.1744,                 1.3163,                 2.0494,                0.88172,                0.90829,                0.92419,                0.70672,                 1.9296,                 1.1208,                 2.0046,               0.009406,               0.009406,               0.009406
                     11,                 2.1256,                 1.2668,                 2.0337,                0.88582,                0.90683,                0.93113,                0.70597,                 1.9806,                 1.1018,                 2.0296,                0.00934,                0.00934,                0.00934
                     12,                 2.1016,                 1.2049,                  2.021,                0.88574,                 0.9137,                0.92515,                0.70295,                 1.9528,                 1.0816,                 2.0114,               0.009274,               0.009274,               0.009274
                     13,                 2.0689,                 1.1856,                 2.0031,                0.88456,                0.91608,                0.92232,                0.70291,                 1.9316,                 1.1083,                 2.0034,               0.009208,               0.009208,               0.009208
                     14,                 2.0523,                 1.1586,                 2.0046,                0.90201,                0.90224,                 0.9252,                0.70501,                 1.9455,                 1.0881,                 2.0125,               0.009142,               0.009142,               0.009142
                     15,                 2.0079,                  1.113,                 1.9838,                0.88943,                0.91293,                0.92401,                0.70291,                 1.9787,                 1.0711,                 2.0237,               0.009076,               0.009076,               0.009076
                     16,                 1.9907,                 1.0789,                 1.9785,                0.89358,                 0.9233,                0.93467,                0.71251,                 1.9546,                 1.0325,                 2.0367,                0.00901,                0.00901,                0.00901
                     17,                 1.9677,                  1.053,                 1.9685,                0.89854,                0.91752,                0.92482,                0.70235,                 1.9516,                 1.0638,                 2.0266,               0.008944,               0.008944,               0.008944
                     18,                 1.9628,                 1.0343,                 1.9671,                0.90043,                0.91518,                0.92932,                0.71184,                 1.9258,                 1.0956,                 2.0124,               0.008878,               0.008878,               0.008878
                     19,                 1.9237,                 1.0085,                 1.9499,                 0.8954,                 0.9124,                0.92666,                0.70288,                 1.9648,                  1.041,                 2.0327,               0.008812,               0.008812,               0.008812
                     20,                 1.8985,                0.98206,                 1.9391,                0.90976,                0.91866,                0.93297,                 0.7084,                 1.9433,                 1.0221,                 2.0355,               0.008746,               0.008746,               0.008746
                     21,                 1.8753,                0.96648,                 1.9343,                0.90698,                0.92729,                 0.9299,                0.70976,                 1.9575,                 1.0832,                 2.0282,                0.00868,                0.00868,                0.00868
                     22,                 1.8622,                0.94796,                 1.9234,                0.89283,                 0.9173,                0.92216,                0.69989,                  1.978,                 1.0917,                 2.0424,               0.008614,               0.008614,               0.008614
                     23,                 1.8401,                 0.9264,                 1.9189,                0.89986,                0.92037,                0.92748,                0.70271,                 1.9834,                 1.0764,                  2.044,               0.008548,               0.008548,               0.008548
                     24,                 1.8102,                 0.9031,                 1.9082,                0.90586,                0.91645,                0.92359,                0.70305,                  1.982,                 1.1041,                 2.0331,               0.008482,               0.008482,               0.008482
                     25,                 1.7878,                0.89225,                 1.8969,                0.89458,                0.92335,                0.92414,                0.70014,                 1.9787,                 1.0865,                 2.0426,               0.008416,               0.008416,               0.008416
                     26,                  1.769,                0.87936,                 1.8902,                 0.8889,                0.92529,                0.92057,                0.69492,                 1.9927,                 1.1099,                 2.0479,                0.00835,                0.00835,                0.00835
                     27,                 1.7406,                0.85445,                 1.8831,                0.90396,                0.91491,                0.92814,                0.70257,                 1.9998,                 1.0849,                 2.0495,               0.008284,               0.008284,               0.008284
                     28,                 1.7183,                0.83281,                 1.8671,                0.90531,                0.92071,                0.92401,                0.69644,                 2.0065,                 1.0903,                 2.0575,               0.008218,               0.008218,               0.008218
                     29,                 1.6996,                 0.8276,                 1.8694,                0.90684,                0.91194,                0.91706,                 0.6925,                 2.0156,                 1.1717,                 2.0742,               0.008152,               0.008152,               0.008152
                     30,                 1.6727,                0.80078,                 1.8527,                0.90701,                0.91281,                0.91264,                0.68889,                 2.0165,                 1.2045,                  2.079,               0.008086,               0.008086,               0.008086
                     31,                 1.6576,                0.78794,                 1.8506,                0.90527,                 0.9173,                0.91707,                0.68604,                  2.044,                 1.1422,                 2.0909,                0.00802,                0.00802,                0.00802
                     32,                 1.6256,                 0.7773,                 1.8415,                0.89801,                0.91645,                 0.9252,                0.70137,                 2.0123,                 1.1123,                 2.0707,               0.007954,               0.007954,               0.007954
                     33,                  1.604,                0.76354,                 1.8339,                0.90248,                0.92045,                0.92333,                 0.6971,                 2.0176,                 1.1731,                  2.077,               0.007888,               0.007888,               0.007888
                     34,                 1.5829,                0.74736,                 1.8239,                 0.9072,                0.91606,                0.92281,                0.69591,                 2.0221,                  1.167,                 2.0738,               0.007822,               0.007822,               0.007822
                     35,                 1.5542,                0.73581,                 1.8146,                0.90443,                0.92036,                0.93118,                0.70049,                 2.0331,                 1.1741,                 2.0907,               0.007756,               0.007756,               0.007756
