                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 10.718,                 13.039,                 7.0191,                      0,                      0,                      0,                      0,                 6.0209,                 9.6456,                 4.9901,               0.070031,              0.0033299,              0.0033299
                      2,                 5.1056,                 6.8633,                 3.9837,                0.42193,                0.55688,                0.44938,                 0.2365,                 3.3414,                 3.2803,                  2.929,               0.039987,              0.0066193,              0.0066193
                      3,                 3.2047,                  3.546,                 2.6365,                0.54788,                0.66358,                 0.6412,                0.41915,                 2.6293,                 2.5187,                 2.3899,              0.0098988,              0.0098646,              0.0098646
                      4,                 2.7652,                 2.7693,                 2.3509,                0.68073,                 0.7653,                0.77787,                0.55692,                 2.1704,                 1.8865,                 2.1552,               0.009802,               0.009802,               0.009802
                      5,                 2.5305,                 2.2084,                 2.2202,                0.78215,                0.81644,                0.86191,                0.63137,                 2.1148,                 1.5491,                 2.0989,               0.009736,               0.009736,               0.009736
                      6,                 2.4029,                 1.9071,                 2.1706,                0.76662,                 0.8495,                0.86215,                0.63413,                 2.1174,                 1.4616,                 2.0942,                0.00967,                0.00967,                0.00967
                      7,                  2.314,                 1.6612,                 2.1153,                 0.8248,                0.87988,                0.90046,                0.67666,                 1.9955,                 1.2595,                 2.0452,               0.009604,               0.009604,               0.009604
                      8,                 2.2516,                 1.5797,                 2.0831,                0.84413,                0.87948,                0.90505,                0.68092,                 1.9986,                 1.2209,                 2.0356,               0.009538,               0.009538,               0.009538
                      9,                 2.2059,                  1.449,                 2.0724,                0.84549,                0.86826,                 0.9003,                0.68767,                 1.9196,                  1.267,                 2.0142,               0.009472,               0.009472,               0.009472
                     10,                  2.176,                 1.3685,                 2.0496,                 0.8602,                0.90275,                0.91968,                0.70362,                 1.9216,                 1.1558,                      2,               0.009406,               0.009406,               0.009406
                     11,                 2.1245,                 1.3142,                 2.0321,                0.87463,                0.88237,                0.92312,                0.70165,                 1.9712,                 1.1391,                 2.0259,                0.00934,                0.00934,                0.00934
                     12,                  2.105,                 1.2466,                 2.0224,                0.85942,                0.89701,                0.91614,                0.69943,                 1.9342,                 1.1532,                 2.0099,               0.009274,               0.009274,               0.009274
                     13,                 2.0634,                 1.2116,                 2.0007,                0.87349,                0.91222,                0.92632,                0.70295,                 1.9343,                 1.0776,                  2.008,               0.009208,               0.009208,               0.009208
                     14,                 2.0494,                 1.1788,                 2.0008,                0.86951,                0.90209,                0.92331,                0.71023,                 1.9129,                 1.1105,                 1.9895,               0.009142,               0.009142,               0.009142
                     15,                 1.9999,                 1.1281,                 1.9804,                 0.8804,                0.91524,                 0.9237,                0.70345,                 1.9511,                 1.0762,                  2.012,               0.009076,               0.009076,               0.009076
                     16,                 1.9867,                 1.0959,                 1.9758,                0.89568,                0.90989,                0.93067,                0.70529,                 1.9638,                 1.0661,                 2.0224,                0.00901,                0.00901,                0.00901
                     17,                 1.9603,                 1.0696,                 1.9646,                0.89096,                0.90066,                0.92902,                0.71304,                  1.928,                 1.0719,                 2.0074,               0.008944,               0.008944,               0.008944
                     18,                 1.9548,                 1.0479,                 1.9639,                0.88483,                 0.9032,                0.91139,                0.70084,                  1.908,                 1.1577,                  1.998,               0.008878,               0.008878,               0.008878
                     19,                 1.9166,                 1.0256,                 1.9471,                0.87892,                0.92233,                0.92234,                0.70594,                 1.9308,                 1.0679,                 2.0044,               0.008812,               0.008812,               0.008812
                     20,                 1.8905,                0.99136,                 1.9343,                0.89802,                0.90748,                 0.9295,                0.70697,                 1.9454,                  1.061,                 2.0084,               0.008746,               0.008746,               0.008746
                     21,                 1.8641,                0.96972,                  1.929,                 0.8937,                0.91145,                0.93041,                0.71223,                 1.9203,                  1.103,                  2.003,                0.00868,                0.00868,                0.00868
                     22,                 1.8544,                0.94813,                 1.9196,                 0.8742,                0.90808,                0.92252,                0.70346,                 1.9586,                 1.1049,                 2.0305,               0.008614,               0.008614,               0.008614
