                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 8.4027,                  11.25,                 5.7886,                0.00145,                0.03362,                0.00113,                0.00034,                 5.5711,                 8.6773,                 4.7561,               0.070031,              0.0033299,              0.0033299
                      2,                 4.1126,                 5.1749,                 3.3324,                0.46118,                0.58509,                0.51621,                0.29894,                 2.9516,                 3.0028,                 2.6353,               0.039987,              0.0066193,              0.0066193
                      3,                 3.1255,                 3.2991,                 2.5694,                0.64691,                0.74539,                0.73235,                0.47685,                 2.5909,                 2.2702,                 2.3635,              0.0098988,              0.0098646,              0.0098646
                      4,                 2.7467,                 2.6069,                  2.336,                0.74581,                0.78983,                0.83185,                0.60528,                 2.1594,                 1.7423,                 2.1548,               0.009802,               0.009802,               0.009802
                      5,                  2.526,                 2.1043,                  2.216,                0.80966,                   0.82,                0.87086,                0.63076,                  2.176,                 1.5198,                 2.1261,               0.009736,               0.009736,               0.009736
                      6,                 2.4141,                 1.8362,                 2.1741,                0.79114,                0.85589,                0.87421,                0.63799,                 2.1298,                 1.4727,                 2.1089,                0.00967,                0.00967,                0.00967
                      7,                 2.3239,                 1.6388,                 2.1203,                 0.8486,                0.87167,                0.90928,                0.67165,                 2.0469,                 1.2624,                 2.0587,               0.009604,               0.009604,               0.009604
                      8,                 2.2623,                 1.5757,                 2.0893,                0.84905,                 0.8824,                0.90993,                0.68513,                 2.0007,                 1.2346,                 2.0419,               0.009538,               0.009538,               0.009538
                      9,                 2.2254,                 1.4357,                 2.0794,                 0.8632,                0.87853,                0.90306,                0.68253,                 1.9753,                 1.2551,                 2.0359,               0.009472,               0.009472,               0.009472
                     10,                 2.1952,                 1.3619,                 2.0564,                0.86362,                0.90503,                0.91678,                0.69744,                  1.944,                 1.1449,                 2.0122,               0.009406,               0.009406,               0.009406
                     11,                 2.1473,                 1.3125,                  2.041,                0.87612,                0.90472,                 0.9284,                0.70126,                 1.9727,                 1.1054,                 2.0184,                0.00934,                0.00934,                0.00934
                     12,                 2.1217,                 1.2476,                 2.0292,                0.87391,                0.90812,                0.92326,                0.70441,                 1.9313,                 1.1082,                  2.006,               0.009274,               0.009274,               0.009274
                     13,                 2.0899,                  1.222,                   2.01,                0.88802,                0.90066,                0.92466,                0.70709,                 1.9174,                 1.0995,                 1.9954,               0.009208,               0.009208,               0.009208
                     14,                 2.0754,                 1.1907,                 2.0118,                0.88331,                0.89957,                0.91895,                0.70024,                 1.9489,                 1.1185,                 2.0182,               0.009142,               0.009142,               0.009142
                     15,                 2.0336,                 1.1414,                 1.9933,                 0.8967,                0.91951,                0.93413,                0.71021,                 1.9632,                 1.0389,                 2.0147,               0.009076,               0.009076,               0.009076
                     16,                 2.0157,                 1.1138,                 1.9871,                0.89794,                0.92562,                0.93012,                0.70501,                 1.9653,                 1.0446,                 2.0303,                0.00901,                0.00901,                0.00901
                     17,                  2.001,                 1.0889,                 1.9806,                0.90455,                0.90971,                0.93067,                0.70977,                 1.9415,                 1.0664,                 2.0084,               0.008944,               0.008944,               0.008944
                     18,                 1.9949,                 1.0696,                 1.9796,                0.89647,                0.91857,                0.91948,                0.70522,                  1.906,                 1.1129,                 2.0067,               0.008878,               0.008878,               0.008878
                     19,                 1.9621,                 1.0509,                 1.9636,                0.90158,                0.90501,                0.92229,                  0.701,                 1.9519,                 1.0769,                   2.02,               0.008812,               0.008812,               0.008812
                     20,                 1.9378,                 1.0185,                 1.9526,                0.89971,                0.92286,                0.93101,                0.70492,                   1.97,                   1.03,                 2.0342,               0.008746,               0.008746,               0.008746
                     21,                 1.9169,                0.99548,                 1.9486,                0.90512,                 0.9117,                0.92528,                0.70441,                 1.9303,                 1.0937,                 2.0154,                0.00868,                0.00868,                0.00868
                     22,                 1.9079,                0.97747,                 1.9392,                0.89491,                0.92455,                0.92856,                0.70201,                 1.9495,                 1.0684,                 2.0254,               0.008614,               0.008614,               0.008614
                     23,                 1.8869,                0.95873,                 1.9346,                0.89497,                0.91495,                0.92555,                0.70998,                  1.921,                 1.0828,                 1.9949,               0.008548,               0.008548,               0.008548
