                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.0087,                 8.8477,                 4.2972,                 0.1686,                0.37337,                0.16735,                0.08346,                 3.3004,                 4.7542,                 3.0102,               0.070031,              0.0033299,              0.0033299
                      2,                 3.4933,                 4.3857,                 2.8525,                0.41556,                0.60671,                0.47571,                0.29918,                 2.6753,                 2.9771,                 2.4928,               0.039987,              0.0066193,              0.0066193
                      3,                 3.1043,                  3.385,                 2.5491,                0.56203,                0.68963,                0.65526,                0.43155,                 2.6035,                 2.3637,                  2.389,              0.0098988,              0.0098646,              0.0098646
                      4,                 2.8096,                 2.7845,                 2.3763,                0.67212,                 0.7734,                0.76862,                 0.5489,                 2.2382,                  1.894,                 2.1971,               0.009802,               0.009802,               0.009802
                      5,                 2.6228,                 2.3216,                 2.2658,                 0.7513,                0.78504,                0.82713,                 0.5964,                 2.2415,                 1.6775,                 2.1644,               0.009736,               0.009736,               0.009736
                      6,                 2.5006,                 2.0785,                 2.2203,                0.73881,                0.83145,                0.84833,                 0.6106,                  2.184,                 1.6196,                 2.1372,                0.00967,                0.00967,                0.00967
                      7,                 2.4173,                 1.8771,                 2.1648,                0.81427,                0.84786,                0.87266,                0.63489,                 2.1354,                 1.4269,                 2.1111,               0.009604,               0.009604,               0.009604
                      8,                 2.3508,                 1.7898,                 2.1319,                0.81585,                0.86097,                0.88169,                0.65146,                  2.087,                 1.3513,                 2.0801,               0.009538,               0.009538,               0.009538
                      9,                 2.3318,                 1.6457,                  2.128,                 0.8128,                0.86887,                0.88724,                 0.6637,                 2.0098,                 1.3335,                 2.0596,               0.009472,               0.009472,               0.009472
                     10,                 2.2984,                 1.5803,                 2.1029,                0.83004,                 0.8796,                0.89984,                0.67895,                 1.9788,                 1.2647,                 2.0376,               0.009406,               0.009406,               0.009406
                     11,                 2.2529,                 1.5092,                 2.0889,                0.84747,                0.88525,                0.90727,                0.67991,                 2.0179,                 1.2344,                 2.0523,                0.00934,                0.00934,                0.00934
                     12,                 2.2364,                 1.4405,                 2.0784,                0.83924,                 0.8856,                 0.8988,                0.67275,                 2.0105,                 1.2401,                 2.0416,               0.009274,               0.009274,               0.009274
                     13,                 2.2094,                 1.4131,                 2.0624,                0.84924,                0.87828,                0.90631,                0.68677,                 1.9577,                 1.1882,                 2.0267,               0.009208,               0.009208,               0.009208
                     14,                 2.1974,                 1.3834,                 2.0643,                0.86583,                0.88999,                0.91331,                 0.6807,                 2.0061,                 1.1884,                 2.0476,               0.009142,               0.009142,               0.009142
                     15,                 2.1613,                 1.3259,                 2.0479,                0.87468,                 0.8886,                0.91397,                0.69102,                 1.9777,                 1.1403,                 2.0375,               0.009076,               0.009076,               0.009076
                     16,                 2.1539,                 1.2945,                 2.0457,                  0.863,                0.90738,                0.91646,                0.69126,                 1.9653,                  1.132,                 2.0301,                0.00901,                0.00901,                0.00901
                     17,                 2.1442,                 1.2883,                   2.04,                0.87399,                0.89903,                0.91784,                0.69406,                 1.9678,                 1.1227,                  2.017,               0.008944,               0.008944,               0.008944
                     18,                 2.1427,                 1.2528,                 2.0406,                0.86444,                0.91182,                 0.9094,                 0.6879,                 1.9385,                 1.1473,                 2.0076,               0.008878,               0.008878,               0.008878
                     19,                 2.1168,                 1.2425,                 2.0275,                0.87661,                0.91333,                0.93059,                0.70589,                 1.9417,                 1.0649,                 2.0139,               0.008812,               0.008812,               0.008812
                     20,                 2.1062,                 1.2122,                 2.0195,                0.88558,                0.91357,                0.92909,                0.70515,                 1.9406,                 1.0576,                 2.0207,               0.008746,               0.008746,               0.008746
