                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.0667,                 8.5429,                 4.3024,                0.23199,                0.42696,                0.21181,                0.10752,                 3.4129,                 4.1992,                 2.9607,               0.070031,              0.0033299,              0.0033299
                      2,                 3.4244,                 4.1756,                 2.8258,                0.46522,                0.59033,                0.49894,                0.31886,                 2.6441,                  2.878,                 2.4693,               0.039987,              0.0066193,              0.0066193
                      3,                 2.9785,                 3.1464,                 2.4704,                0.64446,                0.71586,                 0.7291,                0.49147,                 2.5192,                 2.2313,                  2.329,              0.0098988,              0.0098646,              0.0098646
                      4,                 2.6901,                  2.564,                 2.3035,                0.74068,                0.78984,                0.81994,                0.59358,                 2.1705,                  1.745,                 2.1611,               0.009802,               0.009802,               0.009802
                      5,                 2.4954,                 2.1185,                 2.2027,                0.78428,                0.83585,                 0.8587,                0.62773,                 2.1427,                 1.5414,                 2.1208,               0.009736,               0.009736,               0.009736
                      6,                 2.4082,                 1.8791,                 2.1715,                0.79166,                 0.8347,                 0.8694,                 0.6436,                 2.1022,                  1.509,                 2.0964,                0.00967,                0.00967,                0.00967
                      7,                 2.3257,                 1.6926,                 2.1221,                0.84248,                0.87152,                0.90748,                0.66839,                 2.0718,                 1.2814,                 2.0717,               0.009604,               0.009604,               0.009604
                      8,                 2.2661,                 1.5945,                 2.0937,                0.83845,                0.87402,                 0.9012,                0.67553,                 2.0099,                 1.2624,                 2.0482,               0.009538,               0.009538,               0.009538
                      9,                 2.2471,                 1.4979,                 2.0895,                0.85852,                0.87772,                0.90803,                 0.6902,                 1.9653,                 1.2553,                 2.0299,               0.009472,               0.009472,               0.009472
                     10,                 2.2186,                 1.4286,                 2.0674,                0.86876,                0.89383,                0.92236,                0.70498,                 1.9312,                 1.1487,                 2.0124,               0.009406,               0.009406,               0.009406
                     11,                 2.1788,                 1.3711,                 2.0564,                0.87221,                0.88599,                0.92298,                0.69789,                 1.9744,                 1.1721,                 2.0307,                0.00934,                0.00934,                0.00934
                     12,                 2.1561,                 1.3091,                  2.044,                 0.8782,                0.89335,                0.91902,                0.70026,                 1.9463,                 1.1337,                 2.0167,               0.009274,               0.009274,               0.009274
                     13,                 2.1286,                 1.2821,                 2.0282,                0.87203,                 0.8951,                0.92566,                0.70718,                 1.9304,                 1.1063,                 2.0071,               0.009208,               0.009208,               0.009208
                     14,                 2.1129,                 1.2551,                 2.0285,                0.87161,                0.90355,                0.91928,                0.70452,                 1.9288,                 1.1449,                 2.0093,               0.009142,               0.009142,               0.009142
                     15,                 2.0789,                 1.2041,                 2.0142,                0.88912,                0.89128,                0.92653,                0.70096,                 1.9793,                 1.0897,                 2.0343,               0.009076,               0.009076,               0.009076
                     16,                 2.0677,                 1.1773,                 2.0108,                0.90186,                0.91109,                0.94345,                0.71813,                 1.9377,                 1.0505,                 2.0173,                0.00901,                0.00901,                0.00901
                     17,                  2.059,                  1.174,                 2.0057,                0.86688,                0.91937,                0.93053,                0.71006,                 1.9253,                 1.0801,                 2.0139,               0.008944,               0.008944,               0.008944
                     18,                 2.0565,                 1.1358,                 2.0055,                0.87999,                 0.9099,                0.91567,                0.70466,                 1.8983,                 1.1288,                 1.9937,               0.008878,               0.008878,               0.008878
                     19,                 2.0317,                 1.1312,                 1.9926,                0.88687,                0.90904,                0.92367,                0.70675,                 1.9202,                 1.0607,                 1.9987,               0.008812,               0.008812,               0.008812
                     20,                 2.0159,                 1.1046,                 1.9836,                0.89924,                0.92041,                0.94205,                0.71924,                 1.9293,                 1.0052,                 2.0152,               0.008746,               0.008746,               0.008746
                     21,                 2.0004,                 1.0893,                 1.9829,                0.90253,                0.91424,                0.93452,                0.70993,                 1.9339,                 1.0815,                 2.0013,                0.00868,                0.00868,                0.00868
                     22,                 1.9971,                 1.0734,                 1.9743,                0.87923,                0.92375,                0.92386,                0.70603,                 1.9179,                 1.0619,                 2.0078,               0.008614,               0.008614,               0.008614
                     23,                 1.9829,                 1.0581,                 1.9734,                0.88785,                0.92739,                0.93401,                0.71625,                 1.9126,                 1.0227,                 1.9915,               0.008548,               0.008548,               0.008548
                     24,                 1.9605,                 1.0389,                 1.9648,                0.89116,                0.91251,                0.92738,                0.71141,                 1.9138,                 1.0623,                 1.9954,               0.008482,               0.008482,               0.008482
                     25,                 1.9482,                 1.0272,                 1.9583,                0.88884,                0.91944,                0.92877,                0.70823,                 1.9292,                  1.035,                 2.0029,               0.008416,               0.008416,               0.008416
                     26,                 1.9444,                  1.026,                 1.9548,                0.88371,                0.92403,                 0.9305,                0.70895,                 1.9523,                 1.0708,                  2.008,                0.00835,                0.00835,                0.00835
                     27,                   1.92,                0.99932,                 1.9494,                0.89558,                0.92587,                0.93149,                0.71295,                 1.9352,                  1.027,                 1.9968,               0.008284,               0.008284,               0.008284
                     28,                 1.9136,                0.98718,                 1.9394,                 0.9046,                0.91902,                0.93307,                0.71541,                 1.9176,                 1.0251,                 1.9928,               0.008218,               0.008218,               0.008218
                     29,                 1.9026,                0.97634,                 1.9433,                0.87234,                0.92051,                0.91912,                0.70046,                 1.9442,                 1.1234,                  2.025,               0.008152,               0.008152,               0.008152
                     30,                 1.8825,                0.96117,                 1.9284,                0.89667,                 0.9281,                0.93377,                0.71272,                 1.9203,                 1.0218,                 2.0051,               0.008086,               0.008086,               0.008086
                     31,                 1.8834,                0.94786,                 1.9307,                0.88891,                0.91428,                0.92734,                0.70995,                 1.9276,                 1.0899,                 2.0036,                0.00802,                0.00802,                0.00802
                     32,                 1.8596,                0.93551,                 1.9257,                0.90127,                0.91729,                0.93031,                0.71304,                 1.9312,                  1.039,                 1.9961,               0.007954,               0.007954,               0.007954
                     33,                 1.8423,                0.92383,                 1.9189,                0.89612,                0.93164,                0.93265,                0.71246,                  1.939,                 1.0634,                 2.0144,               0.007888,               0.007888,               0.007888
                     34,                 1.8308,                0.90635,                 1.9105,                0.88937,                0.92085,                0.92907,                0.71133,                 1.9375,                  1.083,                 2.0055,               0.007822,               0.007822,               0.007822
                     35,                 1.8103,                0.90032,                 1.9038,                 0.9013,                 0.9024,                0.92363,                0.70234,                 1.9518,                 1.1179,                 2.0194,               0.007756,               0.007756,               0.007756
                     36,                 1.8043,                 0.8802,                 1.9083,                0.89598,                0.91369,                  0.922,                0.70417,                 1.9459,                 1.1189,                 2.0202,                0.00769,                0.00769,                0.00769
                     37,                 1.7967,                0.89097,                 1.9007,                0.88891,                0.91795,                0.92332,                0.70606,                 1.9433,                 1.1209,                 2.0078,               0.007624,               0.007624,               0.007624
                     38,                 1.7914,                0.87908,                 1.8966,                0.89801,                0.91495,                0.92851,                0.70841,                 1.9622,                 1.0878,                 2.0153,               0.007558,               0.007558,               0.007558
                     39,                 1.7729,                0.86179,                  1.895,                0.88956,                 0.9067,                0.91344,                0.69652,                 1.9584,                  1.203,                 2.0137,               0.007492,               0.007492,               0.007492
                     40,                  1.753,                 0.8519,                 1.8874,                0.89402,                0.92116,                 0.9224,                0.70366,                 1.9682,                 1.1171,                 2.0261,               0.007426,               0.007426,               0.007426
                     41,                 1.7395,                0.84498,                 1.8809,                0.90366,                0.92092,                0.93094,                 0.7071,                 1.9555,                 1.1069,                 2.0191,                0.00736,                0.00736,                0.00736
                     42,                 1.7353,                0.85022,                 1.8804,                0.89863,                0.91439,                0.92602,                0.70505,                 1.9718,                 1.1461,                 2.0281,               0.007294,               0.007294,               0.007294
                     43,                 1.7093,                 0.8134,                 1.8706,                0.90324,                0.91917,                0.92529,                0.70305,                 1.9817,                 1.1211,                 2.0289,               0.007228,               0.007228,               0.007228
                     44,                 1.6954,                0.80756,                 1.8728,                0.90524,                0.91213,                0.91607,                0.69769,                 1.9682,                 1.1726,                 2.0232,               0.007162,               0.007162,               0.007162
                     45,                 1.6908,                0.80162,                 1.8663,                 0.9011,                0.91338,                0.92019,                0.69685,                 1.9763,                 1.1537,                  2.044,               0.007096,               0.007096,               0.007096
                     46,                 1.6766,                0.78896,                 1.8624,                0.90411,                 0.9136,                0.92542,                0.70753,                 1.9529,                 1.1421,                 2.0173,                0.00703,                0.00703,                0.00703
                     47,                 1.6618,                0.78523,                 1.8566,                0.89596,                0.91517,                0.91945,                0.69708,                 2.0095,                 1.1825,                 2.0462,               0.006964,               0.006964,               0.006964
                     48,                 1.6471,                0.78232,                 1.8481,                0.90038,                0.91753,                0.92507,                0.70279,                 1.9909,                 1.1529,                 2.0365,               0.006898,               0.006898,               0.006898
                     49,                 1.6241,                0.75416,                 1.8421,                0.89821,                0.92392,                0.92721,                0.70658,                 1.9917,                 1.1654,                 2.0375,               0.006832,               0.006832,               0.006832
                     50,                 1.6134,                0.75539,                 1.8345,                0.89995,                0.91753,                0.92365,                0.70301,                 1.9917,                 1.1528,                 2.0378,               0.006766,               0.006766,               0.006766
                     51,                 1.6056,                0.75326,                 1.8306,                0.90021,                0.91702,                0.92191,                0.70364,                 1.9838,                 1.1775,                 2.0331,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.5758,                0.73593,                 1.8239,                0.90705,                 0.9193,                0.92171,                0.69955,                 1.9863,                 1.1336,                 2.0415,               0.006634,               0.006634,               0.006634
                     53,                 1.5634,                0.72383,                 1.8212,                0.91117,                0.91401,                0.92133,                0.70163,                 1.9976,                 1.1743,                 2.0463,               0.006568,               0.006568,               0.006568
                     54,                 1.5483,                0.72071,                 1.8211,                0.90439,                0.91763,                0.92277,                 0.7035,                 1.9882,                 1.1672,                 2.0343,               0.006502,               0.006502,               0.006502
                     55,                 1.5531,                0.71975,                 1.8183,                0.90419,                0.91544,                0.91438,                0.69388,                 2.0035,                  1.219,                 2.0512,               0.006436,               0.006436,               0.006436
                     56,                   1.53,                0.70886,                 1.8115,                0.90252,                0.92756,                0.92293,                0.70266,                 1.9987,                 1.1837,                 2.0502,                0.00637,                0.00637,                0.00637
                     57,                 1.5171,                0.69959,                 1.8041,                0.90626,                0.91605,                0.91959,                0.69945,                 2.0082,                 1.2119,                 2.0552,               0.006304,               0.006304,               0.006304
                     58,                 1.4882,                0.68822,                 1.7934,                 0.8998,                 0.9225,                0.91888,                0.69695,                 2.0236,                 1.2295,                 2.0743,               0.006238,               0.006238,               0.006238
                     59,                 1.4791,                0.69271,                 1.7962,                0.90387,                0.92018,                0.92584,                0.70301,                 2.0048,                 1.1754,                 2.0612,               0.006172,               0.006172,               0.006172
                     60,                 1.4727,                0.68432,                 1.7903,                0.90543,                0.91635,                0.91455,                0.69399,                  2.014,                 1.2175,                 2.0626,               0.006106,               0.006106,               0.006106
                     61,                 1.4593,                0.68037,                 1.7887,                0.90778,                0.92237,                0.91828,                0.69872,                 2.0051,                 1.1672,                 2.0579,                0.00604,                0.00604,                0.00604
                     62,                  1.437,                0.67248,                 1.7832,                0.90692,                0.91924,                0.91832,                0.70178,                  1.991,                 1.1834,                 2.0589,               0.005974,               0.005974,               0.005974
                     63,                 1.4294,                0.66701,                 1.7827,                0.90222,                0.92111,                 0.9179,                0.69876,                 2.0361,                 1.2233,                 2.0819,               0.005908,               0.005908,               0.005908
                     64,                 1.4132,                0.65246,                 1.7716,                0.90375,                0.91817,                0.91536,                0.69547,                 2.0317,                  1.268,                 2.0789,               0.005842,               0.005842,               0.005842
                     65,                 1.3903,                 0.6462,                 1.7673,                0.90771,                0.92503,                0.91555,                0.69386,                 2.0412,                 1.2363,                 2.0862,               0.005776,               0.005776,               0.005776
                     66,                 1.3811,                0.64011,                  1.764,                0.90826,                0.91837,                0.91842,                 0.6984,                 2.0284,                 1.2131,                 2.0849,                0.00571,                0.00571,                0.00571
                     67,                  1.373,                0.64093,                 1.7602,                0.90079,                0.92172,                0.91702,                0.69534,                 2.0412,                 1.2415,                 2.0899,               0.005644,               0.005644,               0.005644
                     68,                 1.3542,                0.62747,                 1.7563,                0.89937,                0.91905,                 0.9143,                 0.6936,                 2.0406,                 1.2787,                 2.0843,               0.005578,               0.005578,               0.005578
                     69,                 1.3529,                0.63454,                 1.7591,                0.90456,                0.92223,                0.91591,                0.69632,                 2.0297,                 1.2188,                  2.079,               0.005512,               0.005512,               0.005512
                     70,                 1.3343,                0.62342,                 1.7538,                0.90248,                0.91533,                  0.917,                  0.697,                 2.0385,                 1.2461,                 2.0905,               0.005446,               0.005446,               0.005446
                     71,                 1.3259,                0.63002,                 1.7507,                 0.9112,                0.91773,                0.91532,                0.69296,                 2.0459,                 1.2553,                 2.0983,                0.00538,                0.00538,                0.00538
                     72,                 1.3181,                0.62502,                 1.7477,                0.90836,                0.92265,                0.91807,                0.69865,                 2.0304,                 1.2293,                 2.0927,               0.005314,               0.005314,               0.005314
                     73,                 1.2984,                0.61263,                 1.7379,                0.90868,                0.92479,                0.91868,                0.69665,                 2.0444,                 1.2353,                 2.0916,               0.005248,               0.005248,               0.005248
                     74,                 1.2805,                0.60121,                 1.7403,                 0.9039,                0.92363,                0.91427,                0.69432,                 2.0414,                 1.2537,                 2.0923,               0.005182,               0.005182,               0.005182
                     75,                 1.2824,                0.60797,                 1.7369,                 0.9037,                0.91542,                0.90683,                0.68713,                  2.046,                 1.3011,                 2.1012,               0.005116,               0.005116,               0.005116
                     76,                 1.2621,                0.59362,                 1.7292,                0.90788,                0.91878,                0.91188,                0.69292,                 2.0405,                 1.2731,                 2.0987,                0.00505,                0.00505,                0.00505
                     77,                 1.2682,                0.60091,                 1.7315,                0.90811,                0.92101,                0.91734,                0.69586,                 2.0289,                 1.2576,                 2.0918,               0.004984,               0.004984,               0.004984
                     78,                  1.252,                0.59295,                 1.7299,                0.89804,                0.92087,                0.91047,                0.68773,                 2.0531,                 1.2988,                 2.1023,               0.004918,               0.004918,               0.004918
                     79,                 1.2422,                0.59802,                 1.7272,                0.90872,                0.91568,                0.91503,                0.69267,                 2.0425,                 1.2744,                 2.1061,               0.004852,               0.004852,               0.004852
                     80,                 1.2222,                0.57898,                 1.7272,                0.89434,                0.91755,                0.90754,                0.69102,                 2.0381,                  1.333,                 2.1022,               0.004786,               0.004786,               0.004786
                     81,                 1.2141,                0.58098,                 1.7214,                0.89935,                0.92079,                0.90876,                0.69054,                 2.0347,                 1.2836,                  2.099,                0.00472,                0.00472,                0.00472
                     82,                 1.2124,                0.58334,                 1.7189,                0.91027,                0.91967,                0.91469,                0.69361,                 2.0394,                   1.27,                  2.112,               0.004654,               0.004654,               0.004654
                     83,                 1.2005,                0.57582,                 1.7144,                0.90799,                0.91475,                0.91517,                 0.6944,                 2.0441,                 1.2933,                 2.1084,               0.004588,               0.004588,               0.004588
                     84,                 1.1848,                0.56205,                  1.709,                0.90744,                0.91887,                0.91888,                0.70056,                 2.0423,                  1.263,                 2.1079,               0.004522,               0.004522,               0.004522
                     85,                 1.1833,                0.57071,                  1.712,                0.90124,                0.91948,                0.91853,                0.69858,                 2.0393,                  1.311,                 2.1164,               0.004456,               0.004456,               0.004456
                     86,                 1.1711,                0.56368,                 1.7096,                0.90051,                0.91837,                0.91195,                0.69371,                 2.0426,                 1.2975,                 2.1052,                0.00439,                0.00439,                0.00439
                     87,                 1.1681,                0.56318,                 1.7084,                0.89755,                 0.9149,                0.91017,                0.69205,                 2.0583,                 1.3223,                 2.1182,               0.004324,               0.004324,               0.004324
                     88,                 1.1534,                0.55864,                 1.7028,                0.90637,                0.91953,                 0.9197,                0.69856,                 2.0422,                 1.2691,                 2.1105,               0.004258,               0.004258,               0.004258
                     89,                 1.1575,                 0.5595,                 1.7013,                0.90762,                0.91529,                0.90826,                0.69172,                 2.0405,                 1.2877,                 2.1153,               0.004192,               0.004192,               0.004192
                     90,                 1.1382,                0.55768,                 1.7012,                0.90134,                0.91453,                0.91243,                0.69149,                 2.0506,                 1.3024,                 2.1193,               0.004126,               0.004126,               0.004126
                     91,                 1.1359,                0.55522,                 1.6975,                0.90854,                0.91259,                0.91093,                0.69306,                 2.0412,                 1.3127,                 2.1111,                0.00406,                0.00406,                0.00406
                     92,                 1.1208,                0.54166,                 1.6934,                0.90163,                0.91707,                 0.9117,                0.69419,                 2.0421,                 1.3447,                 2.1096,               0.003994,               0.003994,               0.003994
                     93,                 1.1043,                0.53957,                 1.6948,                0.90241,                0.92212,                0.91453,                0.69464,                 2.0588,                 1.2989,                 2.1207,               0.003928,               0.003928,               0.003928
