                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 11.881,                 15.184,                 7.8923,                      0,                      0,                      0,                      0,                 11.986,                 10.774,                 7.2964,               0.070031,              0.0033299,              0.0033299
                      2,                  8.094,                 10.315,                 5.8436,                0.00849,                 0.1557,                0.00513,                 0.0017,                 5.6345,                 7.7945,                   4.39,               0.039987,              0.0066193,              0.0066193
                      3,                 4.7153,                  5.557,                 3.5527,                0.43235,                0.58766,                0.47536,                0.25121,                 3.3157,                 3.2529,                 2.8125,              0.0098988,              0.0098646,              0.0098646
                      4,                 3.1803,                 3.2427,                 2.5854,                0.68089,                 0.7402,                0.76019,                0.52842,                 2.3265,                 1.9885,                 2.2506,               0.009802,               0.009802,               0.009802
                      5,                 2.7138,                  2.419,                 2.3127,                 0.7662,                0.81387,                  0.841,                0.60449,                 2.2102,                 1.6524,                  2.157,               0.009736,               0.009736,               0.009736
                      6,                 2.5269,                 2.0145,                  2.231,                0.78608,                0.84657,                0.86955,                0.63702,                 2.1027,                 1.4864,                 2.0921,                0.00967,                0.00967,                0.00967
                      7,                 2.4153,                 1.7467,                 2.1625,                0.81827,                0.88356,                0.89672,                0.65473,                  2.088,                 1.3481,                 2.0725,               0.009604,               0.009604,               0.009604
                      8,                 2.3275,                 1.6493,                 2.1184,                0.84224,                0.89105,                0.90645,                0.67346,                 2.0325,                 1.2469,                  2.058,               0.009538,               0.009538,               0.009538
                      9,                 2.2802,                 1.5061,                 2.1023,                0.83741,                0.87303,                0.89717,                0.67731,                  1.973,                 1.3069,                 2.0431,               0.009472,               0.009472,               0.009472
                     10,                 2.2364,                 1.4155,                 2.0739,                0.85924,                0.89695,                0.91799,                0.69775,                 1.9533,                 1.1705,                 2.0164,               0.009406,               0.009406,               0.009406
                     11,                 2.1837,                  1.353,                 2.0573,                0.86158,                0.90718,                0.92429,                0.70401,                 1.9302,                 1.1372,                 2.0078,                0.00934,                0.00934,                0.00934
                     12,                 2.1544,                 1.2836,                 2.0416,                0.86889,                0.89455,                0.91643,                0.69806,                 1.9413,                 1.1494,                 2.0081,               0.009274,               0.009274,               0.009274
                     13,                 2.1171,                 1.2465,                 2.0219,                0.88769,                0.91882,                0.93084,                0.71125,                 1.9226,                 1.0728,                 2.0029,               0.009208,               0.009208,               0.009208
                     14,                 2.0975,                 1.2143,                 2.0211,                0.88026,                 0.8992,                0.92645,                0.70401,                 1.9363,                 1.1149,                 2.0051,               0.009142,               0.009142,               0.009142
                     15,                 2.0517,                  1.171,                  2.001,                0.86895,                0.91838,                0.92294,                0.70157,                 1.9425,                 1.0863,                 2.0093,               0.009076,               0.009076,               0.009076
                     16,                 2.0356,                 1.1416,                  1.996,                 0.8951,                0.91923,                0.93346,                 0.7057,                 1.9652,                 1.0574,                 2.0292,                0.00901,                0.00901,                0.00901
                     17,                 2.0186,                 1.1127,                 1.9874,                0.88622,                0.92306,                0.93506,                 0.7112,                 1.9199,                 1.0436,                 2.0113,               0.008944,               0.008944,               0.008944
                     18,                 2.0092,                 1.0905,                 1.9847,                0.88626,                0.91769,                 0.9233,                0.70785,                 1.9106,                 1.1097,                 2.0006,               0.008878,               0.008878,               0.008878
                     19,                 1.9735,                 1.0645,                 1.9689,                0.88497,                0.91374,                0.92485,                  0.703,                 1.9639,                 1.0847,                 2.0273,               0.008812,               0.008812,               0.008812
                     20,                 1.9482,                 1.0353,                 1.9582,                0.89322,                0.92725,                0.93935,                0.71594,                 1.9363,                0.99714,                 2.0196,               0.008746,               0.008746,               0.008746
                     21,                  1.932,                 1.0118,                 1.9558,                0.89453,                0.91827,                0.93089,                0.71346,                 1.9073,                 1.0786,                 1.9977,                0.00868,                0.00868,                0.00868
                     22,                 1.9223,                  1.004,                 1.9447,                0.89764,                0.91952,                0.93085,                0.71525,                 1.9039,                 1.0428,                 2.0011,               0.008614,               0.008614,               0.008614
